artist_name,artist_id,genre
Becky G,4obzFoKoKRHIphyHzJ35G3,trap latino
Becky G,4obzFoKoKRHIphyHzJ35G3,urbano latino
TINI,7vXDAI8JwjW531ouMGbfcp,latin pop
TINI,7vXDAI8JwjW531ouMGbfcp,latin viral pop
TINI,7vXDAI8JwjW531ouMGbfcp,pop argentino
Lu de la Tower,52299B9p02G2fK6Tx0lDVQ,pop boliviano
Kany García,69UypehHabb68utzfjAVlV,latin pop
Kany García,69UypehHabb68utzfjAVlV,puerto rican pop
BARBEL,6oYwraA8pyfDH4Otny6ooZ,panamanian pop
Valentino GRM,71DQO8pgnTwS3lNCq0cDcr,panamanian pop
Ivanko,4bhrVqGPes1algf6XrsXqm,
JEYSON,0ghH5fsPlkf2XIALKJNSsb,panamanian pop
Sevdaliza,5MraexJKZDrQYzS98kNwie,alternative r&b
Sevdaliza,5MraexJKZDrQYzS98kNwie,persian electronic
SMILE BEATS,5A0VwTrVvV03LMeBZYT99d,panamanian pop
Josuan,4I8dxVJ518Fc8xqfIilTeU,
Kanelo,1kiLCdssvOmoUloZPGsOZo,
NTG,6GlX3FdCQrMftGfVaWcmPZ,dembow dominicano
Amenazzy,6kq4GHwUcUojGIu0ziSNXf,rap dominicano
Amenazzy,6kq4GHwUcUojGIu0ziSNXf,reggaeton
Amenazzy,6kq4GHwUcUojGIu0ziSNXf,trap latino
Amenazzy,6kq4GHwUcUojGIu0ziSNXf,urbano latino
Jezzy,1y8spb5Thg0p5ybNtdk4tu,dembow dominicano
La Perversa,4UcGO4hOufILa9qGd3KOCo,dembow dominicano
La Perversa,4UcGO4hOufILa9qGd3KOCo,trap dominicano
El Alfa,2oQX8QiMXOyuqbcZEFsZfm,dembow
El Alfa,2oQX8QiMXOyuqbcZEFsZfm,rap dominicano
El Alfa,2oQX8QiMXOyuqbcZEFsZfm,trap latino
El Alfa,2oQX8QiMXOyuqbcZEFsZfm,urbano latino
Jey One,0B4uq7LA4vdVwFPDoOcVtw,dembow dominicano
Sin Nombre,0b4EVanoJb8wkWF7QUA3uY,
El Sicokario 42,3J7Uc1H7zS531UBr8cj0F5,
Bigoblin,38m9i1Ro4UpoMLGuRm6bwq,trap dominicano
Papera,0L7AJNWmGtSjzASON8eTDW,dembow dominicano
Rochy RD,4riOEaOW5hCeqomFDBk0aP,dembow
Rochy RD,4riOEaOW5hCeqomFDBk0aP,dembow dominicano
Rochy RD,4riOEaOW5hCeqomFDBk0aP,rap dominicano
Rochy RD,4riOEaOW5hCeqomFDBk0aP,trap latino
Omar Montes,3lY9Fxceu60W1rbon7PkuF,flamenco urbano
Omar Montes,3lY9Fxceu60W1rbon7PkuF,urbano espanol
Isabel Aaiún,5qSwpcWU98AJITpF4USeC3,
Lola Indigo,3bvfu2KAve4lPHrhEFDZna,spanish pop
Diegote,2V9MnjEMqwXm7sice07NQK,
SAIKO,2O8vbr4RYPpk6MRA4fio7u,trap latino
SAIKO,2O8vbr4RYPpk6MRA4fio7u,urbano espanol
SAIKO,2O8vbr4RYPpk6MRA4fio7u,urbano latino
Dei V,2YRyPiW98bpkARAS4B3OQP,trap latino
Dei V,2YRyPiW98bpkARAS4B3OQP,urbano latino
Gonzy,4ixNZvQuuzCDxBsxO9zE6L,urbano latino
El Bobe,3FtVhV92rZyHa7ot2ioG5a,drill espanol
JC Reyes,0FwnPHExlRRxEZPLAi5tmG,urbano espanol
Samuel G,4wJrOCb0eBFfnD4bYqtYKI,flamenco urbano
Morad,4az97MtWmBQ5Db3GfDh9j9,drill espanol
Morad,4az97MtWmBQ5Db3GfDh9j9,urbano espanol
Cyril Kamer,3J1MhhyXLJRNRZVrx11Lbf,drill espanol
Sky Rompiendo,51XrH5fQP2oIQynuKxSWcW,trap latino
Sky Rompiendo,51XrH5fQP2oIQynuKxSWcW,urbano latino
Rvfv,2CCgb0KApjfQDuTppovpf8,drill espanol
Rvfv,2CCgb0KApjfQDuTppovpf8,flamenco urbano
Rvfv,2CCgb0KApjfQDuTppovpf8,urbano espanol
Rvfv,2CCgb0KApjfQDuTppovpf8,urbano latino
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,colombian pop
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,latin pop
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,reggaeton
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,reggaeton colombiano
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,urbano latino
Cruz Cafuné,0jeYkqwckGJoHQhhXwgzk3,rap canario
Cruz Cafuné,0jeYkqwckGJoHQhhXwgzk3,urbano espanol
